Date,ticker,value,avg_ann,seasonal_factor,value_sa
1998-01-01,TotalFruitVeg,258419609,NA,NA,NA
1998-02-01,TotalFruitVeg,444742935,NA,NA,NA
1998-03-01,TotalFruitVeg,403206331,NA,NA,NA
1998-04-01,TotalFruitVeg,351620815,NA,NA,NA
1998-05-01,TotalFruitVeg,405073615,NA,NA,NA
1998-06-01,TotalFruitVeg,416969204,NA,NA,NA
1998-07-01,TotalFruitVeg,520866208,NA,NA,NA
1998-08-01,TotalFruitVeg,342582631,NA,NA,NA
1998-09-01,TotalFruitVeg,360919501,NA,NA,NA
1998-10-01,TotalFruitVeg,118938208,NA,NA,NA
1998-11-01,TotalFruitVeg,58440035,NA,NA,NA
1998-12-01,TotalFruitVeg,141422867,318600163.25,0.4438882439900947,22.06435411762608
1999-01-01,TotalFruitVeg,350056559,326236575.75,1.07301444724657,22.088040018416173
1999-02-01,TotalFruitVeg,402614651,322725885.4166667,1.2475437180385767,22.077220518705207
1999-03-01,TotalFruitVeg,605002899,339542266.0833333,1.7818191118849254,22.128015642092976
1999-04-01,TotalFruitVeg,466314371,349100062.4166667,1.3357613509774533,22.155775800656336
1999-05-01,TotalFruitVeg,347117723,344270404.75,1.0082705867559765,22.14184461666183
1999-06-01,TotalFruitVeg,693335819,367300956,1.8876504612201446,22.20659876335153
1999-07-01,TotalFruitVeg,529446141,368015950.4166667,1.4386499835144713,22.208543488505452
1999-08-01,TotalFruitVeg,438420622,376002449.6666667,1.166004695949902,22.230012866191867
1999-09-01,TotalFruitVeg,323674814,372898725.75,0.8679965675640284,22.22172407779525
1999-10-01,TotalFruitVeg,295405831,387604361,0.7621323718800986,22.26040233899558
1999-11-01,TotalFruitVeg,108800931,391801102.3333333,0.27769429527392,22.271171526769052
1999-12-01,TotalFruitVeg,201626684,396818087.0833333,0.5081086033199329,22.28389516449142
2000-01-01,TotalFruitVeg,434918099,403889882.0833333,1.0768234568209973,22.301559479459055
2000-02-01,TotalFruitVeg,449171153,407769590.5833333,1.1015317556109072,22.311119493674557
2000-03-01,TotalFruitVeg,415506038,391978185.5,1.0600233721424785,22.271623396759566
2000-04-01,TotalFruitVeg,288091108,377126246.9166667,0.7639115822762113,22.23299721160102
2000-05-01,TotalFruitVeg,444171862,385214091.8333333,1.1530519558255812,22.25421647016736
2000-06-01,TotalFruitVeg,540947286,372515047.4166667,1.452148818554806,22.220694640505442
2000-07-01,TotalFruitVeg,403260449,361999573.0833333,1.1139804546321062,22.192060240249543
2000-08-01,TotalFruitVeg,478189781,365313669.6666667,1.3089840887594708,22.20117356123846
2000-09-01,TotalFruitVeg,270907632,360916404.5,0.7506104699654903,22.189063572787504
2000-10-01,TotalFruitVeg,180364000,351329585.25,0.5133754957518198,22.162141979959685
2000-11-01,TotalFruitVeg,81688760,349070237.6666667,0.2340181178035752,22.155690363765036
2000-12-01,TotalFruitVeg,215995088,350267604.6666667,0.6166573360546787,22.159114654851614
2001-01-01,TotalFruitVeg,388997300,346440871.4166667,1.1228389375921828,22.14812936655853
2001-02-01,TotalFruitVeg,469699942,348151603.8333333,1.3491247399935982,22.153055235861036
2001-03-01,TotalFruitVeg,265200528,335626144.6666667,0.7901664760455084,22.11641508356204
2001-04-01,TotalFruitVeg,675206025,367885721.0833333,1.8353689374289486,22.208189557159088
2001-05-01,TotalFruitVeg,472263977,370226730.6666667,1.2756074531668609,22.21453281129971
2001-06-01,TotalFruitVeg,541226645,370250010.5833333,1.461786980498099,22.214595689484472
2001-07-01,TotalFruitVeg,521520727,380105033.75,1.3720437265848233,22.240864826885254
2001-08-01,TotalFruitVeg,656743364,394984499,1.6627066775093875,22.279263728845393
2001-09-01,TotalFruitVeg,302632925,397628273.4166667,0.7610950861204908,22.285934790209367
2001-10-01,TotalFruitVeg,229888361,401755303.5,0.5722098974108503,22.296260413278407
2001-11-01,TotalFruitVeg,160730260,408342095.1666667,0.3936166804806083,22.312522499383803
2001-12-01,TotalFruitVeg,239922372,410336035.5,0.5846972998792352,22.317393630543442
2002-01-01,TotalFruitVeg,495933354,419247373.3333333,1.1829134433376534,22.338878343279934
2002-02-01,TotalFruitVeg,583490070,428729884,1.3609736381240922,22.361244287347493
2002-03-01,TotalFruitVeg,539326444,451573710.3333333,1.1943264890285379,22.413155823836647
2002-04-01,TotalFruitVeg,715531300,454934149.9166667,1.572823891394103,22.42056989077161
2002-05-01,TotalFruitVeg,670261851,471433972.75,1.4217512732274766,22.456196263434382
2002-06-01,TotalFruitVeg,629082523,478755295.9166667,1.313995956526191,22.471606810152874
2002-07-01,TotalFruitVeg,897762139,510108746.9166667,1.759942648359766,22.535041139988888
2002-08-01,TotalFruitVeg,734080618,516553518.0833333,1.4211124158515052,22.547596107755993
2002-09-01,TotalFruitVeg,415510413,525959975.4166667,0.7900038642119711,22.56564232523106
2002-10-01,TotalFruitVeg,281496091,530260619.5833333,0.5308636557268636,22.57378582849927
2002-11-01,TotalFruitVeg,161731753,530344077.3333333,0.30495627256406205,22.57394320617337
2002-12-01,TotalFruitVeg,366362745,540880775.0833334,0.677344734509291,22.59361608353791
2003-01-01,TotalFruitVeg,561476693,546342720,1.0277005118691798,22.603663678888452
2003-02-01,TotalFruitVeg,769657366,561856661.3333334,1.3698464732509141,22.631663974106623
2003-03-01,TotalFruitVeg,567722066,564222963.1666666,1.0062016313793662,22.63586670589368
2003-04-01,TotalFruitVeg,500110264,546271210.1666666,0.9154981164894577,22.603532782088656
2003-05-01,TotalFruitVeg,740289434,552106842.0833334,1.3408445206123036,22.614158789798907
2003-06-01,TotalFruitVeg,822654061,568237803.5833334,1.447728496436362,22.64295720713683
2003-07-01,TotalFruitVeg,1089605346,584224737.5,1.8650448638354689,22.67070294104085
2003-08-01,TotalFruitVeg,792829949,589120515.0833334,1.345785673221465,22.679047980123286
2003-09-01,TotalFruitVeg,519767576,597808612,0.8694548147459609,22.69368786365425
2003-10-01,TotalFruitVeg,302280035,599540607.3333334,0.50418609065447,22.69658091526091
2003-11-01,TotalFruitVeg,158792814,599295695.75,0.26496571746819525,22.696172333061472
2003-12-01,TotalFruitVeg,324462371,595803997.9166666,0.5445790429982674,22.690328958174547
2004-01-01,TotalFruitVeg,519554380,592310471.8333334,0.8771656161875089,22.68444815082713
2004-02-01,TotalFruitVeg,766668216,592061376,1.2949134111393208,22.684027512938005
2004-03-01,TotalFruitVeg,808633909,612137362.9166666,1.3210007393554304,22.717373914289883
2004-04-01,TotalFruitVeg,564109532,617470635.25,0.9135811483109715,22.726048720872654
